Content,EventId,EventTemplate,Count
[authz_core:error] [pid 28239] [client 172.17.130.196:33468] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/skins/.hta,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:33468] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/skins/.hta_,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:33468] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/skins/.htaccess,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:33468] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/skins/.htaccess_,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:33468] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/skins/.htpasswd,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:33468] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/skins/.htpasswd_,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34086] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/plugins/hr/.hta,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34086] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/plugins/hr/.hta_,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34086] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/plugins/hr/.htaccess,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34086] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/plugins/hr/.htaccess_,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34086] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/plugins/hr/.htpasswd,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34086] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-includes/js/tinymce/plugins/hr/.htpasswd_,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34706] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/themes/go/dist/css/admin/.hta_,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34706] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/themes/go/dist/css/admin/.htaccess,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34706] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/themes/go/dist/css/admin/.htaccess_,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34706] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/themes/go/dist/css/admin/.htpasswd,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:34706] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/themes/go/dist/css/admin/.htpasswd_,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:55864] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-admin/css/.hta,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:55864] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-admin/css/.hta_,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
[authz_core:error] [pid 28239] [client 172.17.130.196:55864] AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-admin/css/.htaccess,3b8d0a64,[authz_core:error] [pid <*> [client <*>] AH01630: client denied by server configuration: <*>,1
